rf__n_estimators,rf__criterion,rf__max_depth,rf__min_samples_split,rf__min_samples_leaf,fold,threshold,accuracy,precision,recall,f1,mcc
50,gini,10,5,2,1,0.1,0.5862068965517241,0.2727272727272727,1.0,0.42857142857142855,0.3730235484764954
50,gini,10,5,2,1,0.2,0.8275862068965517,0.47058823529411764,0.8888888888888888,0.6153846153846154,0.560950714127227
50,gini,10,5,2,1,0.30000000000000004,0.9310344827586207,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7369614512471655
50,gini,10,5,2,1,0.4,0.9137931034482759,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.636231857281249
50,gini,10,5,2,1,0.5,0.896551724137931,1.0,0.3333333333333333,0.5,0.5449492609130661
50,gini,10,5,2,1,0.6,0.8793103448275862,1.0,0.2222222222222222,0.36363636363636365,0.44095855184409843
50,gini,10,5,2,1,0.7000000000000001,0.8620689655172413,1.0,0.1111111111111111,0.2,0.3090575499818436
50,gini,10,5,2,1,0.8,0.8448275862068966,1.0,0.0,0.0,0.0
50,gini,10,5,2,1,0.9,0.8448275862068966,1.0,0.0,0.0,0.0
50,gini,10,5,2,2,0.1,0.5862068965517241,0.2727272727272727,1.0,0.42857142857142855,0.3730235484764954
50,gini,10,5,2,2,0.2,0.7931034482758621,0.42105263157894735,0.8888888888888888,0.5714285714285714,0.5125535214347595
50,gini,10,5,2,2,0.30000000000000004,0.9137931034482759,0.75,0.6666666666666666,0.7058823529411765,0.6571428571428571
50,gini,10,5,2,2,0.4,0.9137931034482759,1.0,0.4444444444444444,0.6153846153846154,0.6350528962771202
50,gini,10,5,2,2,0.5,0.896551724137931,1.0,0.3333333333333333,0.5,0.5449492609130661
50,gini,10,5,2,2,0.6,0.8620689655172413,1.0,0.1111111111111111,0.2,0.3090575499818436
50,gini,10,5,2,2,0.7000000000000001,0.8620689655172413,1.0,0.1111111111111111,0.2,0.3090575499818436
50,gini,10,5,2,2,0.8,0.8448275862068966,1.0,0.0,0.0,0.0
50,gini,10,5,2,2,0.9,0.8448275862068966,1.0,0.0,0.0,0.0
50,gini,10,5,2,3,0.1,0.6896551724137931,0.3333333333333333,1.0,0.5,0.45922146480918835
50,gini,10,5,2,3,0.2,0.896551724137931,0.6,1.0,0.75,0.7256242913828739
