pca_n_components,C,kernel,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,mcc,std_mcc,preparationTime
50,0.01,linear,0.8222222222222223,0.09558139185602918,0.8927777777777777,0.06401195875926255,0.7333333333333332,0.20608041101101562,0.7891002014841023,0.1335440960924129,0.6670606477482597,0.1750232303497011,0.5690963455553477
50,0.01,rbf,0.5888888888888889,0.10304020550550783,0.7222222222222221,0.16480441082434807,0.31111111111111117,0.27577052546646347,0.3652525252525253,0.27074144211163176,0.18806580289021146,0.2047320307146492,0.5690964844440006
50,0.01,poly,0.5111111111111111,0.022222222222222233,1.0,0.0,0.02222222222222222,0.04444444444444444,0.04,0.08,0.048507125007266595,0.09701425001453319,0.5690965733322729
50,0.01,sigmoid,0.5555555555555556,0.07027283689263066,0.7333333333333333,0.38873012632302,0.15555555555555559,0.11331154474650632,0.24666666666666665,0.1654623152798781,0.16776408380725538,0.22714262980738656,0.5690966477772842
50,0.1,linear,0.7444444444444445,0.0753592220347252,0.7209090909090909,0.06603279926303594,0.7999999999999999,0.10886621079036347,0.7559133126934985,0.07652248774668491,0.4962493102192506,0.15364488919924343,0.5690967277778933
50,0.1,rbf,0.5888888888888889,0.10304020550550783,0.7222222222222221,0.16480441082434807,0.31111111111111117,0.27577052546646347,0.3652525252525253,0.27074144211163176,0.18806580289021146,0.2047320307146492,0.5690968022216112
50,0.1,poly,0.5444444444444445,0.06478835438717,1.0,0.0,0.08888888888888888,0.12957670877434,0.13999999999999999,0.19595917942265426,0.1379498441072582,0.18092690898021804,0.5690968711110246
50,0.1,sigmoid,0.5555555555555556,0.07027283689263066,0.7333333333333333,0.38873012632302,0.15555555555555559,0.11331154474650632,0.24666666666666665,0.1654623152798781,0.16776408380725538,0.22714262980738656,0.5690969355546662
50,1.0,linear,0.7555555555555555,0.0753592220347252,0.7423376623376623,0.08627756672011094,0.7999999999999999,0.10886621079036347,0.7647368421052632,0.0726925754552402,0.520767167578897,0.15364488919924343,0.5690970044440797
50,1.0,rbf,0.6444444444444445,0.090267093384844,0.8333333333333334,0.14907119849998599,0.3555555555555556,0.16329931618554522,0.4822510822510823,0.17103895556059556,0.34865479626606394,0.18356536518929625,0.5690970722223736
50,1.0,poly,0.5222222222222223,0.04444444444444447,0.9,0.2,0.06666666666666667,0.08888888888888889,0.10909090909090909,0.14545454545454545,0.07071067811865475,0.14142135623730953,0.5690971388882543
50,1.0,sigmoid,0.5555555555555556,0.060858061945018485,0.67,0.3682390527904394,0.2,0.12957670877434,0.29074925074925073,0.1710245548273518,0.14896987341898132,0.20904551164967863,0.5690972055554286
50,10.0,linear,0.7555555555555555,0.0753592220347252,0.7423376623376623,0.08627756672011094,0.7999999999999999,0.10886621079036347,0.7647368421052632,0.0726925754552402,0.520767167578897,0.15364488919924343,0.5690972688879508
50,10.0,rbf,0.7777777777777778,0.09296222517045281,0.8647619047619047,0.12654845898569975,0.6666666666666666,0.15713484026367722,0.7429448621553885,0.12006619782426589,0.57884464882143,0.18756559591986888,0.5690973388884838
50,10.0,poly,0.5333333333333334,0.0753592220347252,0.7,0.4,0.11111111111111112,0.12171612389003691,0.17636363636363636,0.18305037016222864,0.0894427190999916,0.23564679451396292,0.5690974066667777
50,10.0,sigmoid,0.5555555555555556,0.03513641844631534,0.5711111111111111,0.03950308629918038,0.48888888888888893,0.13333333333333333,0.5141186299081035,0.07784518353698511,0.11655747560790139,0.07097419838384059,0.5690974699992997
50,100.0,linear,0.7555555555555555,0.0753592220347252,0.7423376623376623,0.08627756672011094,0.7999999999999999,0.10886621079036347,0.7647368421052632,0.0726925754552402,0.520767167578897,0.15364488919924343,0.569097552222148
50,100.0,rbf,0.8,0.06666666666666667,0.8544444444444445,0.08566371229953947,0.7333333333333332,0.13333333333333333,0.7807086343309253,0.0830050758354862,0.6148646137010503,0.13180897383596538,0.5690976166657896
50,100.0,poly,0.5777777777777777,0.09686442096757052,0.86,0.19595917942265426,0.2,0.20367003088692623,0.27372627372627373,0.2696873462720429,0.18132533751849483,0.22793921735622585,0.569097691110801
50,100.0,sigmoid,0.5444444444444445,0.06478835438717004,0.5686868686868686,0.08616108328135805,0.5111111111111111,0.054433105395181765,0.5297076023391812,0.01782388603653684,0.09371101108850097,0.13604046097711078,0.5690977588890949
60,0.01,linear,0.8111111111111111,0.05665577237325316,0.8842063492063492,0.06532686194367837,0.7333333333333332,0.16629588385661961,0.783981635839221,0.09542287069276378,0.6447487860801381,0.08581712677023247,0.5690978333328126
60,0.01,rbf,0.5888888888888889,0.10304020550550783,0.7222222222222221,0.16480441082434807,0.31111111111111117,0.27577052546646347,0.3652525252525253,0.27074144211163176,0.18806580289021146,0.2047320307146492,0.5690978977777478
60,0.01,poly,0.5111111111111111,0.022222222222222233,1.0,0.0,0.02222222222222222,0.04444444444444444,0.04,0.08,0.048507125007266595,0.09701425001453319,0.569097963332509
60,0.01,sigmoid,0.5555555555555556,0.07027283689263066,0.7333333333333333,0.38873012632302,0.15555555555555559,0.11331154474650632,0.24666666666666665,0.1654623152798781,0.16776408380725538,0.22714262980738656,0.5690980211107267
60,0.1,linear,0.7222222222222222,0.07856742013183862,0.7637878787878789,0.13201170051379393,0.711111111111111,0.22879178091082222,0.6984490638360608,0.13153359101743217,0.47656963791781903,0.14920083643997523,0.5690980911112598
60,0.1,rbf,0.5888888888888889,0.10304020550550783,0.7222222222222221,0.16480441082434807,0.31111111111111117,0.27577052546646347,0.3652525252525253,0.27074144211163176,0.18806580289021146,0.2047320307146492,0.5690981577771406
60,0.1,poly,0.5444444444444445,0.06478835438717,1.0,0.0,0.08888888888888888,0.12957670877434,0.13999999999999999,0.19595917942265426,0.1379498441072582,0.18092690898021804,0.569098226666554
60,0.1,sigmoid,0.5555555555555556,0.07027283689263066,0.7333333333333333,0.38873012632302,0.15555555555555559,0.11331154474650632,0.24666666666666665,0.1654623152798781,0.16776408380725538,0.22714262980738656,0.5690982877768369
60,1.0,linear,0.7222222222222222,0.07856742013183862,0.7637878787878789,0.13201170051379393,0.711111111111111,0.22879178091082222,0.6984490638360608,0.13153359101743217,0.47656963791781903,0.14920083643997523,0.5690983522217721
60,1.0,rbf,0.6444444444444445,0.090267093384844,0.8333333333333334,0.14907119849998599,0.3555555555555556,0.16329931618554522,0.4822510822510823,0.17103895556059556,0.34865479626606394,0.18356536518929625,0.5690984166667072
60,1.0,poly,0.5222222222222223,0.04444444444444447,0.9,0.2,0.06666666666666667,0.08888888888888889,0.10909090909090909,0.14545454545454545,0.07071067811865475,0.14142135623730953,0.5690984844437076
60,1.0,sigmoid,0.5555555555555556,0.060858061945018485,0.67,0.3682390527904394,0.2,0.12957670877434,0.29074925074925073,0.1710245548273518,0.14896987341898132,0.20904551164967863,0.5690985444441645
60,10.0,linear,0.7222222222222222,0.07856742013183862,0.7637878787878789,0.13201170051379393,0.711111111111111,0.22879178091082222,0.6984490638360608,0.13153359101743217,0.47656963791781903,0.14920083643997523,0.56909860777798
60,10.0,rbf,0.7888888888888889,0.07370277311900889,0.8742857142857142,0.11226790116793428,0.6888888888888889,0.12957670877434,0.7612781954887218,0.08985866818293885,0.6000805426181097,0.1497024878839612,0.5690986733327412
