max_depth,min_samples_split,min_samples_leaf,criterion,accuracy,precision,recall,f1,mcc
10,2,1,gini,0.9531073446327684,0.8772222222222222,0.8,0.8313037495700035,0.809021990123739
10,5,1,gini,0.9497740112994351,0.8577777777777778,0.8,0.8221534227726177,0.7974562478738765
10,2,2,gini,0.9463841807909604,0.8522222222222222,0.7777777777777778,0.8077743378052975,0.7815270202169539
10,5,2,gini,0.9463841807909604,0.8522222222222222,0.7777777777777778,0.8077743378052975,0.7815270202169539
30,2,1,gini,0.9531073446327684,0.8772222222222222,0.8,0.8313037495700035,0.809021990123739
30,5,1,gini,0.9497740112994351,0.8577777777777778,0.8,0.8221534227726177,0.7974562478738765
30,2,2,gini,0.9463841807909604,0.8522222222222222,0.7777777777777778,0.8077743378052975,0.7815270202169539
30,5,2,gini,0.9463841807909604,0.8522222222222222,0.7777777777777778,0.8077743378052975,0.7815270202169539
50,2,1,gini,0.9531073446327684,0.8772222222222222,0.8,0.8313037495700035,0.809021990123739
50,5,1,gini,0.9497740112994351,0.8577777777777778,0.8,0.8221534227726177,0.7974562478738765
50,2,2,gini,0.9463841807909604,0.8522222222222222,0.7777777777777778,0.8077743378052975,0.7815270202169539
50,5,2,gini,0.9463841807909604,0.8522222222222222,0.7777777777777778,0.8077743378052975,0.7815270202169539
10,2,1,entropy,0.9463841807909604,0.8453030303030303,0.8,0.8136429308565531,0.7884947065593402
10,5,1,entropy,0.9430508474576271,0.8258585858585858,0.8,0.8044926040591674,0.7769289643094778
10,2,2,entropy,0.9396610169491526,0.8191919191919192,0.7777777777777778,0.7904575163398693,0.7606908773128241
10,5,2,entropy,0.9396610169491526,0.8191919191919192,0.7777777777777778,0.7904575163398693,0.7606908773128241
30,2,1,entropy,0.9463841807909604,0.8453030303030303,0.8,0.8136429308565531,0.7884947065593402
30,5,1,entropy,0.9430508474576271,0.8258585858585858,0.8,0.8044926040591674,0.7769289643094778
30,2,2,entropy,0.9396610169491526,0.8191919191919192,0.7777777777777778,0.7904575163398693,0.7606908773128241
30,5,2,entropy,0.9396610169491526,0.8191919191919192,0.7777777777777778,0.7904575163398693,0.7606908773128241
50,2,1,entropy,0.9463841807909604,0.8453030303030303,0.8,0.8136429308565531,0.7884947065593402
50,5,1,entropy,0.9430508474576271,0.8258585858585858,0.8,0.8044926040591674,0.7769289643094778
50,2,2,entropy,0.9396610169491526,0.8191919191919192,0.7777777777777778,0.7904575163398693,0.7606908773128241
50,5,2,entropy,0.9396610169491526,0.8191919191919192,0.7777777777777778,0.7904575163398693,0.7606908773128241
