C,kernel,accuracy,precision,recall,f1,preparationTime
0.01,linear,0.8996045197740112,0.7136363636363636,0.5555555555555556,0.6064253393665158,0.00038722876254124584
0.01,rbf,0.7394350282485875,0.1869047619047619,0.2666666666666667,0.18899487723017133,0.00038722876254124584
0.01,poly,0.580677966101695,0.054629629629629625,0.3333333333333333,0.09387057387057388,0.00038722876254124584
0.01,sigmoid,0.7226553672316384,0.24794488665456407,0.4222222222222222,0.2854480286738351,0.00038722876254124584
0.1,linear,0.9029378531073448,0.7247474747474747,0.5777777777777777,0.6234188034188035,0.00038722876254124584
0.1,rbf,0.7594915254237289,0.43015873015873013,0.2888888888888889,0.26153846153846155,0.00038722876254124584
0.1,poly,0.7094915254237288,0.025454545454545452,0.15555555555555556,0.04375,0.00038722876254124584
0.1,sigmoid,0.6893785310734464,0.20383838383838385,0.4,0.23507765830346475,0.00038722876254124584
1.0,linear,0.9029378531073448,0.7247474747474747,0.5777777777777777,0.6234188034188035,0.00038722876254124584
1.0,rbf,0.8929378531073446,0.8,0.4222222222222222,0.5268449197860963,0.00038722876254124584
1.0,poly,0.7095480225988701,0.2230769230769231,0.15555555555555553,0.07934426229508197,0.00038722876254124584
1.0,sigmoid,0.7057627118644068,0.26319055944055947,0.5111111111111112,0.33650584907102987,0.00038722876254124584
10.0,linear,0.9029378531073448,0.7247474747474747,0.5777777777777777,0.6234188034188035,0.00038722876254124584
10.0,rbf,0.9096610169491527,0.7911111111111111,0.5555555555555556,0.6282539682539683,0.00038722876254124584
10.0,poly,0.8495480225988701,0.44000000000000006,0.22222222222222224,0.2489068825910931,0.00038722876254124584
10.0,sigmoid,0.5889265536723164,0.2192282430213465,0.6222222222222221,0.3209794440284458,0.00038722876254124584
100.0,linear,0.9029378531073448,0.7247474747474747,0.5777777777777777,0.6234188034188035,0.00038722876254124584
100.0,rbf,0.9096045197740115,0.8206349206349206,0.5111111111111111,0.597043512043512,0.00038722876254124584
100.0,poly,0.8728248587570622,0.6071428571428571,0.4222222222222222,0.49271493212669687,0.00038722876254124584
100.0,sigmoid,0.5689265536723165,0.21083228599357628,0.6222222222222221,0.31160620988207194,0.00038722876254124584
