n_neighbors,metric,weights,accuracy,precision,recall,f1,preparationTime
0.01,linear,0.9029378531073448,0.7993506493506494,0.5111111111111112,0.5901648351648352,0.5764266284855106,0.022338940133768942
0.01,rbf,0.8494915254237287,1.0,0.0,0.0,0.0,0.02233897926420967
0.01,poly,0.8461581920903954,0.8,0.0,0.0,-0.010938056352464587,0.022339000334458216
0.01,sigmoid,0.8494915254237287,1.0,0.0,0.0,0.0,0.022339020066903935
0.1,linear,0.9029378531073448,0.7993506493506494,0.5111111111111112,0.5901648351648352,0.5764266284855106,0.022339035117039753
0.1,rbf,0.8494915254237287,1.0,0.0,0.0,0.0,0.022339054849485472
0.1,poly,0.8461581920903954,0.8,0.0,0.0,-0.010938056352464587,0.022339068227416423
0.1,sigmoid,0.8494915254237287,1.0,0.0,0.0,0.0,0.022339083277600907
1.0,linear,0.9029378531073448,0.7993506493506494,0.5111111111111112,0.5901648351648352,0.5764266284855106,0.022339098327736725
1.0,rbf,0.8494915254237287,1.0,0.0,0.0,0.0,0.022339121070238808
1.0,poly,0.8562146892655369,0.9333333333333332,0.06666666666666667,0.10666666666666666,0.12828934456668498,0.022339136454874002
1.0,sigmoid,0.8461581920903954,0.8666666666666666,0.02222222222222222,0.03333333333333333,0.023558060760785305,0.022339158193975295
10.0,linear,0.9029378531073448,0.7993506493506494,0.5111111111111112,0.5901648351648352,0.5764266284855106,0.022339179933125255
10.0,rbf,0.8829378531073446,0.8357142857142857,0.3555555555555555,0.46163101604278073,0.4744561239394852,0.022339201003325135
10.0,poly,0.8494915254237287,0.5833333333333333,0.13333333333333336,0.19533799533799537,0.1731377485758295,0.022339224080277924
10.0,sigmoid,0.8428813559322034,0.5166666666666666,0.31111111111111106,0.37047619047619046,0.3106839007234557,0.022339244481625057
100.0,linear,0.9029378531073448,0.7993506493506494,0.5111111111111112,0.5901648351648352,0.5764266284855106,0.022339265886275644
100.0,rbf,0.9062711864406781,0.8933333333333333,0.4666666666666666,0.563399407609934,0.579540988928491,0.022339286287622776
100.0,poly,0.862824858757062,0.6214285714285714,0.24444444444444446,0.3186713286713287,0.30949337167328317,0.02233930668896991
100.0,sigmoid,0.7659887005649717,0.27601037851037846,0.3333333333333333,0.29651143009037745,0.1635241807129337,0.022339326421415628
