pca_n_components,C,kernel,accuracy,precision,recall,f1,mcc,preparationTime
50,0.01,linear,0.8222222222222223,0.8927777777777777,0.7333333333333332,0.7891002014841023,0.6670606477482597,0.1091145288887977
50,0.01,rbf,0.5888888888888889,0.7222222222222221,0.31111111111111117,0.3652525252525253,0.18806580289021146,0.10911462777779282
50,0.01,poly,0.5111111111111111,1.0,0.02222222222222222,0.04,0.048507125007266595,0.10911468666648337
50,0.01,sigmoid,0.5555555555555556,0.7333333333333333,0.15555555555555559,0.24666666666666665,0.16776408380725538,0.10911473444430157
50,0.1,linear,0.7444444444444445,0.7209090909090909,0.7999999999999999,0.7559133126934985,0.4962493102192506,0.10911477999988063
50,0.1,rbf,0.5888888888888889,0.7222222222222221,0.31111111111111117,0.3652525252525253,0.18806580289021146,0.1091148255554597
50,0.1,poly,0.5444444444444445,1.0,0.08888888888888888,0.13999999999999999,0.1379498441072582,0.10911486777768005
50,0.1,sigmoid,0.5555555555555556,0.7333333333333333,0.15555555555555559,0.24666666666666665,0.16776408380725538,0.10911491333325911
50,1.0,linear,0.7555555555555555,0.7423376623376623,0.7999999999999999,0.7647368421052632,0.520767167578897,0.10911495666659903
50,1.0,rbf,0.6444444444444445,0.8333333333333334,0.3555555555555556,0.4822510822510823,0.34865479626606394,0.10911499888881937
50,1.0,poly,0.5222222222222223,0.9,0.06666666666666667,0.10909090909090909,0.07071067811865475,0.10911503999992014
50,1.0,sigmoid,0.5555555555555556,0.67,0.2,0.29074925074925073,0.14896987341898132,0.10911508444437965
50,10.0,linear,0.7555555555555555,0.7423376623376623,0.7999999999999999,0.7647368421052632,0.520767167578897,0.10911512888883913
50,10.0,rbf,0.7777777777777778,0.8647619047619047,0.6666666666666666,0.7429448621553885,0.57884464882143,0.10911517111105948
50,10.0,poly,0.5333333333333334,0.7,0.11111111111111112,0.17636363636363636,0.0894427190999916,0.10911521777775811
50,10.0,sigmoid,0.5555555555555556,0.5711111111111111,0.48888888888888893,0.5141186299081035,0.11655747560790139,0.10911525888885888
50,100.0,linear,0.7555555555555555,0.7423376623376623,0.7999999999999999,0.7647368421052632,0.520767167578897,0.10911529999995967
50,100.0,rbf,0.8,0.8544444444444445,0.7333333333333332,0.7807086343309253,0.6148646137010503,0.10911534222218001
50,100.0,poly,0.5777777777777777,0.86,0.2,0.27372627372627373,0.18132533751849483,0.10911538333328079
50,100.0,sigmoid,0.5444444444444445,0.5686868686868686,0.5111111111111111,0.5297076023391812,0.09371101108850097,0.10911542111102285
60,0.01,linear,0.8111111111111111,0.8842063492063492,0.7333333333333332,0.783981635839221,0.6447487860801381,0.10911545999988448
60,0.01,rbf,0.5888888888888889,0.7222222222222221,0.31111111111111117,0.3652525252525253,0.18806580289021146,0.10911549888874611
60,0.01,poly,0.5111111111111111,1.0,0.02222222222222222,0.04,0.048507125007266595,0.10911553888872731
60,0.01,sigmoid,0.5555555555555556,0.7333333333333333,0.15555555555555559,0.24666666666666665,0.16776408380725538,0.10911557999982809
60,0.1,linear,0.7222222222222222,0.7637878787878789,0.711111111111111,0.6984490638360608,0.47656963791781903,0.10911562333316802
60,0.1,rbf,0.5888888888888889,0.7222222222222221,0.31111111111111117,0.3652525252525253,0.18806580289021146,0.10911566444426879
60,0.1,poly,0.5444444444444445,1.0,0.08888888888888888,0.13999999999999999,0.1379498441072582,0.10911570555536956
60,0.1,sigmoid,0.5555555555555556,0.7333333333333333,0.15555555555555559,0.24666666666666665,0.16776408380725538,0.10911574444455457
60,1.0,linear,0.7222222222222222,0.7637878787878789,0.711111111111111,0.6984490638360608,0.47656963791781903,0.10911578222229663
60,1.0,rbf,0.6444444444444445,0.8333333333333334,0.3555555555555556,0.4822510822510823,0.34865479626606394,0.10911582444451698
60,1.0,poly,0.5222222222222223,0.9,0.06666666666666667,0.10909090909090909,0.07071067811865475,0.1091158677778569
60,1.0,sigmoid,0.5555555555555556,0.67,0.2,0.29074925074925073,0.14896987341898132,0.10911590555559895
60,10.0,linear,0.7222222222222222,0.7637878787878789,0.711111111111111,0.6984490638360608,0.47656963791781903,0.10911594555558016
60,10.0,rbf,0.7888888888888889,0.8742857142857142,0.6888888888888889,0.7612781954887218,0.6000805426181097,0.10911598555556136
60,10.0,poly,0.5333333333333334,0.7,0.11111111111111112,0.17636363636363636,0.0894427190999916,0.10911602333330342
60,10.0,sigmoid,0.5333333333333334,0.5511111111111112,0.4666666666666667,0.49306599832915615,0.0718361160579056,0.10911606444440419
60,100.0,linear,0.7222222222222222,0.7637878787878789,0.711111111111111,0.6984490638360608,0.47656963791781903,0.10911610444438541
60,100.0,rbf,0.8,0.8332323232323231,0.7555555555555555,0.7814752567693743,0.6122651300686933,0.10911614333324704
60,100.0,poly,0.5777777777777777,0.86,0.2,0.27372627372627373,0.18132533751849483,0.1091161811109891
